,type,id,lat,lon,name,place,name:ru,postal_code,wikidata,wikipedia,is_in,name:lt,source,alt_name,is_in:district,population,is_in:country,is_in:region,website,name:es,name:ar,name:ur,wikipedia:en,created_by,name:en,name:uk,old_name,GNS:dsg_code,GNS:id,capital,facebook,geometry
0,node,114194024,-21.1671868,16.4007827,Etjo,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.4007827 -21.1671868)
1,node,169021410,-20.8894241,16.1893565,Kalkfeld,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.1893565 -20.8894241)
2,node,245022737,-20.5864334,17.4524507,Okakarara,village,Окакарара,12005,Q992077,en:Okakarara,,,,,,,,,,,,,,,,,,,,,,POINT (17.4524507 -20.5864334)
3,node,245023717,-20.4635829,16.6490992,Otjiwarongo,city,Очиваронго,12001,Q993149,en:Otjiwarongo,Namibia,Očivarongas,Local Knowledge,,,,,,,,,,,,,,,,,,,POINT (16.6490992 -20.4635829)
4,node,245024172,-19.6418434,17.3440533,Otavi,town,Отави,,Q1013965,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (17.3440533 -19.6418434)
5,node,245024496,-19.712964,17.711065,Kombat,village,,,Q119701,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (17.711065 -19.712964)
6,node,245029805,-18.7679537,17.9633956,Tsintsabis,village,,,,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (17.9633956 -18.7679537)
7,node,258882740,-21.0524638,15.5067273,Omatjete,village,,,Q7089908,en:Omatjette,Namibia,,,Omatjette,Kunene,12000,,,,,,,,,,,,,,,,POINT (15.5067273 -21.0524638)
8,node,258888029,-20.37384,14.960421,Khorixas,town,,,Q1740681,en:Khorixas,Namibia,,,,Kunene,6900,,,,,,,,,,,,,,,,POINT (14.960421 -20.37384)
9,node,258969494,-19.9069382,13.9829115,Palmwag,hamlet,,,,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (13.9829115 -19.9069382)
10,node,258982029,-20.2107358,15.0159551,Fransfontein,village,,,Q993156,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (15.0159551 -20.2107358)
11,node,258986827,-19.6284083,14.8433584,Kamanjab,village,,21004,Q1699191,en:Kamanjab,Namibia,,,Okamanja,,7000,,,,,,,,,,,,,,,,POINT (14.8433584 -19.6284083)
12,node,259222387,-20.1107902,16.1569975,Outjo,town,Оучо,,,,Namibia,,,,,,Namibia,Kunene,,,,,,,,,,,,,,POINT (16.1569975 -20.1107902)
13,node,259486111,-18.6173308,17.168044,Oshivelo,town,,,Q914118,,Namibia,,,,,,,,,,,,,,,,,,,,,POINT (17.168044 -18.6173308)
14,node,259489730,-17.9128994,16.0403442,Oniipa,town,,14004,Q2024282,,Namibia,,,,,,,,https://oniipatc.org.na/,,,,,,,,,,,,,POINT (16.0403442 -17.9128994)
15,node,259489787,-17.9097449,15.9734636,Ondangwa,town,,,Q2023773,,,,,,,30000,,,,Ondangua,,,,,,,,,,,,POINT (15.9734636 -17.9097449)
16,node,259490969,-17.7826518,15.6986,Oshakati,city,Ошакати,15001,Q985622,en:Oshakati,"Oshana, Namibia",Ošakatis,,,,43000,,,,,أوشاكاتي,اوشاکاتی,,,,,,,,,,POINT (15.6986 -17.7826518)
17,node,259491696,-17.6573092,15.472675,Oshikuku,town,,16003,,,Namibia,,,,,,,,,,,,https://en.wikipedia.org/wiki/Oshikuku,,,,,,,,,POINT (15.472675 -17.6573092)
